Film,U.S. release date,U.S. and Canada,Other territories,Worldwide,Budget
Iron Man,2008-05-02,318412101,266762121,585174222,140.0
The Incredible Hulk,2008-06-13,134806913,128620638,263427551,150.0
Iron Man 2,2010-05-07,312433331,311500000,623933331,200.0
Thor,2011-05-06,181030624,268295994,449326618,150.0
Captain America: The First Avenger,2011-07-22,176654505,193915269,370569774,140.0
The Avengers,2012-05-04,623357910,895455078,1518812988,220.0
Iron Man 3,2013-05-03,409013994,805797258,1214811252,178.4
Thor: The Dark World,2013-11-08,206362140,438209262,644571402,152.7
Captain America: The Winter Soldier,2014-04-04,259766572,454497695,714264267,177.0
Guardians of the Galaxy,2014-08-01,333176600,440152029,773328629,195.9
Avengers: Age of Ultron,2015-05-01,459005868,946397826,1405403694,365.5
Ant-man,2015-07-17,180202163,339109802,519311965,109.3
Captain America: Civil War,2016-05-06,408084349,745220146,1153304495,230.0
Doctor Strange,2016-11-04,232641920,445076475,677718395,165.0
Guardians of the Galaxy Vol 2,2017-05-05,389813101,473942950,863756051,200.0
Spider-man: Homecoming,2017-07-07,334201140,545965784,880166924,175.0
Thor: Ragnarok,2017-11-03,315058289,538918837,853977126,180.0
Black Panther,2018-02-16,700059566,646853595,1346913161,200.0
Avengers: Infinity War,2018-04-27,678815482,1369544272,2048359754,358.0
Ant-man and the Wasp,2018-07-06,216648740,406025399,622674139,162.0
Captain Marvel,2019-03-08,426829839,701444955,1128274794,162.5
Avengers: Endgame,2019-04-26,858373000,1937901401,2796274401,356.0
Spider-man: Far From Home,2019-07-02,390153495,740873062,1131026557,160.0
